фамилия,имя,отчество,номер,электронная почта,адрес,дата рождения,ссылка на телеграмм,количество покупок за месяц,ИНН,почтовый индекс,количество времени проведенного на сайте,пол,количество отзывов,количество комментариев
Корнилова,Ольга,,,,"клх Тамбов, алл. Серова, д. 47 к. 3, 072726",1945-04-20,,,,,1:19:37,m,24.0,
Зиновьева,,,73782162925.0,belozerovvladilen@example.net,"с. Нижневартовск, пер. Станиславского, д. 94 стр. 503, 730415",1968-10-06,,,,,7:55:17,,,
Фомин,Всеслав,,76334111822.0,visheslav_2021@example.net,,1941-12-09,https://t.me/semen_1976,,,,23:44:25,f,,
,Таисия,,89319142109.0,miheevleonti@example.com,"д. Кострома, бул. Ермака, д. 4/3 стр. 327, 830221",1949-06-15,,44.0,,270368.0,20:1:55,,63.0,
Романова,,Арсеньевич,88316600290.0,larionovavasilisa@example.com,,1998-08-02,https://t.me/aborisov,,,,,,,51.0
Бурова,Панкратий,,71742744943.0,,"к. Усть-Кулом, бул. Карла Либкнехта, д. 7, 962758",,,0.0,,,7:17:47,,,
,Фаина,,86871686364.0,savinkallistrat@example.net,,1932-10-19,,,,,17:49:52,,,
Дроздов,Бронислав,,,velimir_68@example.net,"ст. Добрянка, пер. 70 лет Октября, д. 6/8, 073544",1963-10-15,,34.0,322337326776.0,,3:25:19,m,,
Родионов,,,73234371169.0,zosima2003@example.org,"к. Серпухов, пер. Есенина, д. 33 к. 3/2, 547764",,https://t.me/kononovladimir,,,752717.0,22:58:47,,,95.0
Доронин,Устин,,,panovantonin@example.org,"клх Нарым, наб. Нефтяников, д. 421 к. 15, 284646",1944-09-18,,17.0,,,11:20:25,,77.0,
Хохлов,,Юльевич,83927649470.0,kuzminmechislav@example.net,,1972-03-08,,11.0,,,0:3:13,f,,
Егорова,Руслан,,81296650050.0,,,1932-02-14,,38.0,,137077.0,,m,,47.0
Власов,,,72745620747.0,dorofeevrjurik@example.com,,1936-11-08,https://t.me/vsemil1999,,,,,f,,
Бирюков,,Борисович,82367975170.0,xnikonova@example.org,"к. Джубга, наб. Транспортная, д. 3 стр. 871, 857944",,,,900350820376.0,,,,71.0,
,Никон,,76420061776.0,kulakovpotap@example.com,"клх Игнашино, бул. Таежный, д. 77 к. 1/7, 996828",1938-05-03,,,,,13:32:35,,,
Емельянова,Борис,,71623639240.0,melnikovadarja@example.net,"г. Агинское (Забайк.), ш. Терешковой, д. 2 к. 8/4, 941859",,https://t.me/innokenti17,,,,11:38:25,,,
Никитин,,,89654982061.0,karl2020@example.com,,1937-08-11,,,,727233.0,13:32:47,,4.0,
,София,,74972792477.0,narkis_1983@example.org,,,https://t.me/pahomovazari,,,,,,,7.0
Ситников,Нинель,,,onufri_45@example.com,"клх Боровск, ш. Загородное, д. 54 стр. 9/8, 336833",1936-08-03,https://t.me/ivanovaevdokija,21.0,,,,,65.0,
Цветкова,Амвросий,,84595912652.0,andre88@example.org,"к. Камень-на-Оби, ш. Луговое, д. 983, 339024",1977-08-27,,,,,,,8.0,
Яковлев,Ипатий,,85374792608.0,popovgavrila@example.org,"д. Семлячики, пр. О.Кошевого, д. 606 стр. 973, 700845",1984-03-13,,,,,,,91.0,
Кононова,Анжела,,88587034944.0,shcherbakovratibor@example.com,"к. Фатеж, ш. Шмидта, д. 89 стр. 1, 362160",,https://t.me/isanosov,,,852491.0,,,,
Туров,Каллистрат,,,sofija_56@example.net,"клх Саранск, наб. Азовская, д. 993, 711430",,,,,,,f,,
Гусева,Наум,,88577467583.0,borislavmakarov@example.com,"ст. Курган, наб. Главная, д. 698, 620648",1961-03-23,https://t.me/melnikovaaleksandra,1.0,556685650663.0,,,f,32.0,87.0
Ермаков,Бронислав,,86162500033.0,filatovguri@example.net,,,,,,783755.0,12:18:33,,96.0,
Кошелева,Аркадий,,71174874215.0,vitali15@example.net,"с. Кировск (Мурм.), ш. Щорса, д. 27 к. 37, 713081",1981-08-03,https://t.me/mitofan_2016,,,,,m,54.0,
Фролов,,Ефстафьевич,,trofim1990@example.com,,,,,,358078.0,23:45:35,,63.0,19.0
Орлов,Михей,,87359592182.0,demid1972@example.net,"д. Абакан, бул. Новгородский, д. 242, 392815",2010-12-11,,,,,,,85.0,
Семенов,Наталья,,,vatslavjakovlev@example.net,"п. Мончегорск, бул. Космонавтов, д. 6 к. 77, 529586",1999-10-28,https://t.me/ostap1980,25.0,,665006.0,10:9:46,,,9.0
Авдеева,,,88809043332.0,vladimirovizot@example.com,,1977-01-09,,,,581966.0,10:34:4,,82.0,
Ковалев,Фотий,,,ipati_1999@example.org,,1932-03-05,,,755580190063.0,,15:50:38,,11.0,
,Кондратий,Гертрудович,89298738453.0,raisa_1972@example.org,"д. Змеиногорск, ш. Подлесное, д. 57 стр. 479, 402843",1952-09-02,https://t.me/mamontovavde,,299217084303.0,,15:42:35,,,61.0
Чернов,Артем,Тарасовна,78169980325.0,vladimir_1981@example.net,,,https://t.me/angelina2002,,,,,f,20.0,
Ефимова,Лариса,,,,"д. Тырныауз, наб. Проезжая, д. 2/1 к. 89, 552281",,https://t.me/dzikova,30.0,,,19:48:19,m,,
Коновалова,,Федотович,,,,,https://t.me/gurevnikifor,,775926440207.0,,6:54:2,,9.0,95.0
Денисов,Потап,,76549444676.0,ignati2021@example.com,"д. Троицко-Печорск, наб. Октябрьская, д. 3/8, 604015",2005-07-15,https://t.me/kapiton_81,,,,,,75.0,84.0
,Аскольд,,84893220058.0,,"к. Северо-Курильск, наб. Прудная, д. 27 к. 6, 808279",1979-11-14,https://t.me/georgi46,,,,9:36:33,,,
,Устин,Георгиевич,76217058505.0,,"д. Вологда, пр. Студенческий, д. 8/8 к. 21, 986173",1977-08-13,https://t.me/uvarovvseslav,,,,17:2:45,,40.0,68.0
Колесникова,Эмилия,,73202174878.0,sokrat2013@example.org,"д. Плес, ш. Малиновое, д. 52 стр. 108, 160832",,,,22249960925.0,197707.0,,,38.0,
Савельев,Павел,,,igor_1973@example.com,,,https://t.me/dobromisl2016,,,,4:35:3,,86.0,
Тихонов,Жанна,,87636315829.0,simonovlongin@example.com,,,,,,777334.0,,,42.0,86.0
Одинцов,Куприян,,76776864767.0,vladlen2002@example.org,"с. Нефедова, алл. Покровская, д. 240 стр. 542, 627954",1931-12-14,https://t.me/gorde_81,,,741900.0,,,,50.0
Мухина,Марк,,70570506645.0,stanislav94@example.com,"п. Охотск, ул. Приморская, д. 33, 056739",,https://t.me/haritondorofeev,,707785724961.0,,12:42:36,,49.0,9.0
Игнатова,,,88666127781.0,ysemenov@example.com,"г. Шелехов, бул. Одесский, д. 22, 932876",,,30.0,,,,,,23.0
Сазонов,Аникей,,,tretjakovluka@example.net,,1982-12-17,https://t.me/afanasi_2007,,72653858058.0,,23:51:14,,7.0,
Суворова,,,,,,1957-11-14,,,,,17:43:10,,97.0,
Сергеев,Богдан,,89853616486.0,izmailgromov@example.org,,1946-04-26,,,,,3:44:59,,66.0,53.0
,Леонид,,81779030391.0,,,1995-07-14,,35.0,,,7:58:12,,47.0,95.0
Михайлова,Милан,,,vladimir98@example.com,,1943-12-06,https://t.me/innokentiseliverstov,44.0,774735136747.0,,,,11.0,
,Викентий,,80654864955.0,,"клх Истра, ул. Инженерная, д. 38 к. 70, 087757",1981-07-17,https://t.me/nestor2010,,359858760710.0,,,,,
,,Эдгарович,74111746178.0,dobroslav87@example.net,"п. Канск, алл. Кольцова, д. 614 стр. 67, 344914",1931-09-04,,33.0,,,11:14:54,,76.0,
Кошелева,Любовь,,84370647465.0,emmanuilmatveev@example.com,,,,49.0,,,5:45:50,,72.0,
Никитина,Лонгин,,86838008648.0,ostromiralekseev@example.org,,1988-06-10,,,554508846007.0,,11:44:4,,90.0,
,Влас,,76711193139.0,,"клх Санкт-Петербург, наб. Гайдара, д. 7/5, 503787",1975-01-17,https://t.me/znazarova,,,,14:57:27,,,
Беляев,Агафья,,86061947322.0,mjasnikovaevdokija@example.com,,1947-08-23,,,,,2:38:59,m,98.0,68.0
Евсеев,Аверкий,Архиповна,75696203045.0,vera_1998@example.org,"ст. Валдай, пр. Павлова, д. 8, 772202",,,13.0,886630212890.0,,3:40:6,m,,
Кузнецова,Валентин,,78887390822.0,egor2023@example.org,,1975-09-08,,,,,,m,1.0,
Родионов,Константин,,72882276556.0,belousovfeoktist@example.org,"г. Белогорск (Амур.), пер. Школьный, д. 815 стр. 1, 001803",1981-10-10,https://t.me/eleonora45,,,,,,69.0,
Щербаков,Гремислав,,71343376932.0,,,1981-03-08,,,,,16:6:8,,3.0,
Куликова,Вацлав,,82104680071.0,viktor_93@example.org,,1997-05-10,https://t.me/fedoseevinnokenti,18.0,,,15:33:25,,,
,Виталий,,83034650075.0,,"г. Звенигород, бул. Горняцкий, д. 798 стр. 2, 375151",1977-11-07,https://t.me/isakovafaina,,,,12:48:35,,73.0,
Попов,Всеволод,,72956558291.0,tarasguljaev@example.net,"к. Верхний Уфалей, ш. Цветочное, д. 3, 579761",,,,,,22:5:26,,73.0,
Харитонов,Евгений,,,gavrila2003@example.org,"к. Губкин, бул. Астраханский, д. 4/9 к. 2/5, 997416",,,,614177721416.0,,,,,
Евдокимов,Ян,,82880853214.0,julian95@example.net,,2008-11-24,https://t.me/sidorovstepan,,,,,f,100.0,38.0
Мясникова,,,,litkinolimpi@example.com,"с. Кетченеры, бул. Труда, д. 1/9 стр. 91, 258996",,,43.0,282862696856.0,,6:46:35,,29.0,
Мартынова,Каллистрат,Яковлевич,75231988214.0,,"клх Ивдель, пер. Харьковский, д. 20, 508178",1987-11-21,,,338357073157.0,,4:30:40,m,49.0,
Гуляева,Всеслав,,87796100663.0,vatslavpotapov@example.org,"п. Шарья, ул. Клубная, д. 6 к. 22, 697451",2008-06-17,,,,,13:39:9,,99.0,77.0
Алексеева,Ермил,,78227372148.0,,"г. Тихвин, ул. Л.Толстого, д. 390, 617145",1954-12-02,https://t.me/konon65,33.0,,727023.0,,f,81.0,
Тарасов,,,74893413306.0,aksenovamaja@example.com,"ст. Бреды, ш. ДОС, д. 59 стр. 372, 417194",1945-05-03,https://t.me/zinaida_2012,,825627367387.0,,,,,
Лобанова,Иосиф,Афанасьевич,78153916329.0,anisimovgerasim@example.com,"клх Джейрах, пр. Маяковского, д. 433, 158305",1980-04-13,https://t.me/mihailfomin,,420073846087.0,,0:48:31,f,,
,Серафим,,,nlitkin@example.org,,1999-11-11,https://t.me/radislavgerasimov,32.0,,,,,,
,Пимен,,77321234636.0,filippnikitin@example.net,,1946-11-10,https://t.me/gusevsemen,,,6506.0,13:6:3,m,77.0,
Васильева,Олимпий,,,lidija_1992@example.net,"г. Кизилюрт, пер. Кузнечный, д. 3, 457004",1945-08-18,https://t.me/fomichevkonon,40.0,,,6:46:46,,46.0,
Кудряшов,,,83309429734.0,,"к. Домбай, ул. Кузнецкая, д. 418 к. 6, 908167",,https://t.me/karpovarkadi,,,205260.0,16:50:28,,,
Веселов,Борис,,,tsazonov@example.com,,,,18.0,,,4:1:32,,,
,Валентина,,77594316537.0,aleksandrovaalevtina@example.com,"д. Воронеж, алл. Заозерная, д. 3/4 стр. 7/6, 982993",1966-09-22,,,,,6:18:52,m,,36.0
,Евстигней,,,mihe2021@example.com,"к. Радужный, пр. Карла Либкнехта, д. 4 стр. 59, 182182",1934-11-24,,17.0,,,,,,
Сидоров,Адам,,74135806911.0,,"к. Барнаул, бул. Мостовой, д. 4 стр. 8/3, 978965",,https://t.me/zaharovaaleksandra,,763123350586.0,,20:12:40,,,
Филиппов,Макар,Харлампович,,miroslav_79@example.org,"с. Челюскин, пер. Гайдара, д. 8, 055738",1967-07-20,,,,,,m,86.0,
Козлов,Никифор,,,semenvinogradov@example.net,,,,,,,13:42:16,,,16.0
Щукин,Дорофей,Фёдорович,84425607246.0,vseslav2003@example.com,"ст. Архыз, алл. Ярославская, д. 77 стр. 8/2, 631774",,,,,,13:43:33,f,,30.0
Давыдова,,,71044652187.0,,"п. Асино, бул. Новоселов, д. 2/5 к. 7/6, 482436",1985-07-26,,13.0,,455514.0,,,,82.0
Титов,Прохор,,70945918595.0,trofimovamarfa@example.org,,1975-02-13,,,778881921780.0,,,m,,
Мамонтова,,,78365057111.0,ljubim_1976@example.org,"с. Лянтор, пр. Дружба, д. 8 стр. 617, 743622",1966-07-28,https://t.me/nikitinapelageja,25.0,,,,,14.0,
Шубин,Милица,,77642665446.0,zdanilov@example.net,,1950-05-27,,,,,11:7:20,,,
,Селиван,,,,"к. Магас, пер. Сенной, д. 33 стр. 4, 325759",,https://t.me/zmaslov,,,116686.0,,,2.0,55.0
Лазарева,Аверкий,,71622322133.0,fkovaleva@example.org,,2002-10-02,,10.0,,,,,,
Воробьев,Ким,,74477243354.0,zahar82@example.com,"г. Забайкальск, алл. Водников, д. 690 стр. 10, 556548",1974-10-23,https://t.me/evstigne04,18.0,793042110867.0,,4:48:14,,70.0,82.0
Тимофеева,Елизар,,80206126788.0,pavel_37@example.net,,1935-04-01,,,424499573502.0,,14:19:36,,30.0,
Щербакова,Георгий,,75085599295.0,grishinavksenti@example.net,,1956-10-08,https://t.me/signateva,,189045831898.0,,23:37:43,f,29.0,
Макарова,Никандр,,85637834198.0,,"п. Колпашево, наб. Полевая, д. 925 к. 8, 322678",1930-08-03,,,,478704.0,3:48:0,,,
Морозова,Венедикт,,,nesterovaraisa@example.com,"ст. Гремячинск (Перм.), ул. Тюленина, д. 919 стр. 77, 555871",1961-01-01,https://t.me/ipati_2003,,848087201855.0,,,m,91.0,
,Глафира,Константиновна,86461282332.0,natan_48@example.com,"п. Архангельск, пер. Трактовый, д. 6/8 к. 6, 195665",,,,,,13:36:51,f,65.0,
Шарова,Вацлав,,89897256497.0,arseniborisov@example.org,"г. Сухиничи, ул. Лунная, д. 1/9 к. 8/1, 625106",1941-11-27,,,968482944030.0,,,f,12.0,38.0
Николаева,Лидия,,83173242756.0,,"п. Устюжна, ш. Железнодорожное, д. 503 стр. 72, 219491",2006-02-26,,,976627767153.0,,10:42:20,m,20.0,89.0
Харитонова,,,88516699403.0,gleb_1980@example.net,,,https://t.me/nkazakova,15.0,,,7:45:47,m,,
,Никанор,,74971670982.0,kapitonkirillov@example.org,"ст. Партизанск, пр. Свободный, д. 892 к. 82, 338795",1993-12-16,,,,,10:45:21,,65.0,
Корнилова,,,72848119858.0,,"п. Верхний Тагил, наб. Волгоградская, д. 56 к. 685, 970093",,https://t.me/jborisov,,,,2:13:54,,,
Зыкова,,,81108884315.0,,"г. Малая Вишера, ш. Алтайское, д. 7/8, 023714",,https://t.me/kvorontsova,,,,22:3:7,,93.0,
Потапов,Мирослав,,86415068217.0,vatslav_1985@example.net,"ст. Каргополь, ул. 40 лет Победы, д. 8 к. 9/8, 044554",1970-03-18,,,,597162.0,,m,22.0,
Константинов,Устин,,88898038171.0,,"д. Ковров, бул. Локомотивный, д. 7/2 стр. 2/8, 722232",2000-01-02,https://t.me/loginovagap,,,,11:14:44,,,97.0
Федорова,,,,emil2024@example.org,"к. Кириши, ш. Нижнее, д. 89, 719040",1938-03-12,,,,,,,45.0,
Шашкова,Рубен,,,,,1961-10-24,https://t.me/nikifor_47,,729461844575.0,,11:6:32,,,
Ермакова,Мина,Станиславовна,75074621598.0,,"д. Старая Русса, пр. Фестивальный, д. 293 стр. 9, 504018",2006-09-27,https://t.me/ngolubeva,,,,7:53:59,f,28.0,
Блинов,Радим,,75634636531.0,ovchinnikovaverki@example.com,,1935-11-07,https://t.me/saveli_92,8.0,669715983723.0,,,,58.0,
Дьячкова,Филарет,,,vitali62@example.org,"г. Верхний Тагил, ул. Проточная, д. 346 к. 343, 336001",1994-01-13,https://t.me/tretjakovkondrat,,,885837.0,,,,
Никитина,Куприян,,88384792160.0,zaharafanasev@example.net,"с. Воскресенск, ул. Почтовая, д. 165, 904848",1949-03-01,,,,,,f,54.0,34.0
Белоусова,Пантелеймон,,75193015590.0,bobilevborislav@example.com,,1977-05-08,,,,,,,,
,Аким,,,maksimiljan_46@example.net,"к. Южноуральск, ш. Подстанция, д. 35 стр. 8, 680945",,,,459702699434.0,,13:11:2,f,,85.0
Силин,Мартьян,Гавриилович,87619160421.0,aksenovborislav@example.com,,1992-09-17,,,,,,f,,
Ильина,Аникита,,88316348405.0,agafonzaharov@example.net,"ст. Выборг, пр. Космодемьянской, д. 143 к. 9/5, 271422",,https://t.me/ujakushev,48.0,,,10:49:26,f,,
Комаров,Пелагея,,74980990423.0,mstislav_1998@example.org,,2005-09-25,https://t.me/boris_1983,39.0,,,15:14:51,,,
Романова,Сергей,,83861531941.0,,,1953-03-04,,29.0,477765854124.0,,7:55:33,,,
Лукин,Елисей,,70033010254.0,,,1978-08-22,,,,,,,96.0,
,Эраст,,79441071774.0,blinovmitofan@example.net,"г. Москва, МГУ, алл. Молодежная, д. 6, 805161",1996-11-06,https://t.me/onufri40,12.0,,,7:19:47,f,56.0,
Гущина,Григорий,,87681331574.0,ksenija_2012@example.org,,1990-02-10,https://t.me/rodionovevgeni,,36104831359.0,,,,14.0,
Логинов,,,88964416225.0,zaharovprokl@example.com,"клх Таганрог, ул. Чехова, д. 9/9, 018333",1993-04-02,,,900067982312.0,,1:55:5,,29.0,
Зуев,Емельян,,,xgerasimov@example.com,"ст. Эльтон, пр. Мелиораторов, д. 2 стр. 48, 655304",1942-06-11,https://t.me/hristoforlavrentev,,,990879.0,20:32:25,,,
Тарасов,,Степановна,81759274163.0,naina59@example.com,"п. Бомнак, ш. Саратовское, д. 373, 834107",1935-03-11,,,,,,f,68.0,
Потапова,Мина,,,askoldlukin@example.net,,1959-09-26,https://t.me/skozlov,,,,23:34:37,,,
Михайлова,Агата,,74554407893.0,valerija_2022@example.org,"к. Тайшет, пр. Красноярский, д. 6, 369627",,,,,,,,73.0,
Ларионова,Ярополк,,88159969744.0,,"к. Нефтекамск, пр. Приозерный, д. 451 к. 946, 975364",1976-06-09,,,,,22:43:36,,40.0,
Шилова,Исидор,,85988966394.0,wmelnikov@example.com,,1953-11-25,,,,818042.0,9:48:30,,,
Филатов,Осип,,76743243824.0,gleb_1990@example.org,"п. Каменномостский, пер. Ключевой, д. 2, 522709",1966-03-02,,,,,,,42.0,
Красильникова,Феофан,,,,,1974-11-08,,,859419441095.0,,17:39:49,,,
Муравьев,Доброслав,,88110254044.0,isa2007@example.com,"с. Ясный (Оренб.), алл. Садовая, д. 3, 616911",1972-12-04,https://t.me/efremkuznetsov,,101003316768.0,,9:29:56,m,,
Ершова,Зиновий,,76217566496.0,ponomarevafaina@example.org,"к. Енисейск, ш. Краснопартизанское, д. 74, 645501",1974-01-12,https://t.me/dkazakova,,,,,,33.0,
,Лаврентий,,87975760695.0,,"к. Голицыно, наб. Степана Разина, д. 7 стр. 609, 076975",1957-06-14,,,,,23:32:18,,53.0,
Королева,Харитон,,78993631315.0,denisovaekaterina@example.org,"д. Пермь, пр. Киевский, д. 62 к. 23, 066344",1980-06-05,https://t.me/prohorovalora,49.0,,,18:25:26,,94.0,
Тарасова,Афиноген,,87498461978.0,viktor85@example.com,"п. Королев, ш. Уральское, д. 2/7 к. 1, 518908",,,,,,,,75.0,96.0
Логинов,Авдей,,,,"клх Мокшан, пр. Щорса, д. 6 стр. 9, 720692",1931-07-09,https://t.me/ysuhanov,,,,,,,75.0
Борисов,Иларион,Изотович,,,"п. Корсаков, пер. Красноярский, д. 6 к. 5/1, 314571",2008-05-10,,,52413863306.0,,,,,
Исакова,Онуфрий,Георгиевна,74158990187.0,,"с. Каменск-Шахтинский, пер. Воровского, д. 6 стр. 19, 367875",1986-08-08,https://t.me/provrodionov,,,617554.0,,m,33.0,
Логинова,Кондратий,,72930142193.0,,"г. Красновишерск, пр. Васильковый, д. 4/7 стр. 856, 589912",1948-05-22,,43.0,,270481.0,8:21:12,m,,
,Гордей,,82818091162.0,avgustkondratev@example.org,"д. Оленек, алл. Набережная, д. 20 стр. 419, 461883",,,,,,,,49.0,84.0
,Игорь,,,,,1962-03-14,https://t.me/izotdmitriev,,,,,,71.0,
Кондратьева,Константин,,89993761398.0,galkinefrem@example.net,,,,,373257064453.0,,5:23:47,f,,
Аксенов,София,,,sidorovdemjan@example.net,,,https://t.me/zosima1970,,,,,,,
,,Августович,,,,1948-03-14,https://t.me/hgavrilova,8.0,,,,,,24.0
Рогова,Виктор,,85307804430.0,,,1997-04-12,,,,,19:12:10,,28.0,
,,,,aristarh56@example.com,"к. Соболево, алл. Ульяновская, д. 68 стр. 8/7, 632317",2003-08-16,,,,,,m,16.0,
Александрова,,Артёмович,,komarovairaida@example.org,"ст. Слюдянка, ш. Овражное, д. 7/2 стр. 884, 683957",1986-04-27,,,508348159679.0,1306.0,,,,
Меркушева,,,73088407977.0,kovalevdemjan@example.com,,1995-05-28,,,173234485043.0,,15:18:19,f,54.0,
Громова,,Дорофеевич,73931679548.0,borisgushchin@example.com,,,,,,,,,49.0,91.0
Ершова,Лев,,83017376335.0,pantelemon73@example.net,"д. Уфа, ш. Заречное, д. 6, 465556",,https://t.me/dorofeevamilitsa,,44453253837.0,,13:26:53,m,,
Горшков,Иванна,Александровна,81792671190.0,,,,https://t.me/egor_95,33.0,,839920.0,11:59:37,m,5.0,98.0
,,,89376820746.0,jshchukin@example.net,"г. Внуково (метеост.), наб. Амурская, д. 68 стр. 6, 410663",,https://t.me/ljubim2001,,,338544.0,,,,
Белова,Серафим,,77254746880.0,ermola_2008@example.org,"г. Терней, наб. Ярославская, д. 63 к. 8, 892217",1971-11-17,,,,,,m,67.0,
Яковлев,Виктория,,89462129521.0,korolevdorofe@example.org,,,,,,377206.0,20:0:36,,26.0,
Уварова,Амос,,88233013492.0,fedoseevvenedikt@example.org,"п. Анапа, бул. Никитина, д. 1/5 к. 38, 288092",1940-06-08,https://t.me/cbobileva,,,,,,,
Осипов,Владимир,Арсенович,86562610387.0,nsavina@example.com,"д. Новый Уренгой, бул. Гвардейский, д. 33 стр. 7, 596525",,https://t.me/svetozar_83,39.0,,,,,,
Сафонов,Мефодий,,76118166456.0,marina2016@example.net,,,,,,,,f,83.0,
Шестакова,Платон,,88166275764.0,borisovaviktorija@example.com,"клх Черняховск, бул. Ручейный, д. 266 к. 71, 577795",,,0.0,,982215.0,,,,
Федотова,,Геннадиевна,73423822743.0,sbeljakova@example.com,"п. Сочи, наб. Школьная, д. 1/8, 380162",1983-05-06,,,,,,f,38.0,35.0
Крюкова,Авдей,,76239686637.0,,"г. Пушкино (Моск.), алл. Березовая, д. 78 стр. 5, 982620",1950-05-16,https://t.me/vsevolod73,,,,,,,97.0
Костина,Архип,,,davidovboris@example.net,"клх Минусинск, пер. Правды, д. 3 стр. 97, 364254",,https://t.me/gerasimovazhanna,,,487771.0,,,,
Евсеева,Конон,,80900971382.0,rostislav_1975@example.net,"г. Рыбинск, алл. Гвардейская, д. 151 к. 82, 643085",,https://t.me/mili1974,,,124385.0,14:14:23,m,,
Суворова,Юлиан,,87178922414.0,fedotovpanfil@example.com,"г. Листвянка (Иркут.), пер. Главный, д. 9/3 к. 92, 435164",2009-08-07,https://t.me/djachkovdemid,,370002924853.0,,,,,
Алексеев,Всемил,,,pahomkulikov@example.net,,,https://t.me/lihachevnaum,,,,14:22:32,,,
Лобанова,,,87893765656.0,innokentibeljakov@example.net,"клх Подольск, алл. Больничная, д. 864 к. 99, 141045",1994-03-15,https://t.me/snosov,,,,,,,
Сафонова,,,87290412920.0,panovboleslav@example.org,,,,,540401602698.0,,,,,
Рогов,Селиверст,,,kotovpahom@example.net,"д. Магадан, бул. Семашко, д. 626 стр. 6, 931827",,https://t.me/julikozlov,,,,,m,15.0,
Кулакова,София,,71059210577.0,,"к. Усть-Ордынский, наб. Энергетиков, д. 1/5 стр. 4/2, 326373",2000-07-05,,,,,3:7:46,,,
Тихонов,Адриан,,86018277489.0,,"с. Нефтеюганск, пер. Ярославский, д. 78, 222315",1961-07-11,,,,,,,,
Гурьева,,,,livanova@example.com,"п. Псебай, ул. Кольцова, д. 63, 061370",,,,,,15:35:19,m,37.0,11.0
,Велимир,,85336978700.0,arefi37@example.net,"г. Верхнее Пенжино, пер. Серафимовича, д. 365 к. 856, 656569",,https://t.me/valeri_2021,,,,10:34:49,,29.0,
,,,88676813093.0,kiselevfirs@example.org,"г. Каспийск, пр. Стадионный, д. 1/4, 151058",1953-08-15,,,,,14:7:17,,42.0,
Рябов,Никодим,,88437044497.0,,"д. Онега, бул. Р.Люксембург, д. 54 к. 389, 755818",1999-11-02,https://t.me/ufedoseev,31.0,,,18:26:5,m,24.0,65.0
,Нонна,,80904174438.0,semenovradovan@example.com,"д. Темрюк, ш. Севастопольское, д. 570, 343618",1950-01-19,,,,,,,,
Федоров,Леон,,88750793364.0,varlaam2006@example.org,,1982-10-15,,,,,,,,
Богданов,Максимильян,,76497406693.0,kallistrat01@example.net,"к. Псебай, пер. Тракторный, д. 6, 464750",,,,282267895097.0,,,,19.0,
Петухов,Глафира,Эдгардович,84107370892.0,kuprijan1998@example.org,,1978-07-05,https://t.me/nmorozova,,,463968.0,19:39:22,m,16.0,
Кудряшова,Ювеналий,,85567050580.0,miron_1977@example.com,"п. Ставрополь, пр. Карла Маркса, д. 9/1, 083026",1973-04-25,https://t.me/alla87,,,,20:51:43,,,
Дроздова,Ксения,Ермолаевич,89623938290.0,,,,https://t.me/borislav26,,748655039841.0,673819.0,7:36:22,f,,
,Эмилия,,78606337276.0,yandreeva@example.net,,1937-10-09,https://t.me/guri91,,,,19:56:43,f,55.0,
